"","ref_date","geo","value","business_characteristics"
"199","2020","Northwest Territories",0,"Transportation and warehousing [48-49]"
"200","2020","Northwest Territories",21.6,"Information and cultural industries [51]"
"201","2020","Northwest Territories",0,"Finance and insurance [52]"
"202","2020","Northwest Territories",29.1,"Real estate and rental and leasing [53]"
"203","2020","Northwest Territories",12.2,"Professional, scientific and technical services [54]"
"204","2020","Northwest Territories",0,"Administrative and support, waste management and remediation services [56]"
"205","2020","Northwest Territories",0,"Health care and social assistance [62]"
"206","2020","Northwest Territories",7,"Arts, entertainment and recreation [71]"
"207","2020","Northwest Territories",23.3,"Accommodation and food services [72]"
"208","2020","Northwest Territories",7.5,"Other services (except public administration) [81]"
"209","2020","Nunavut",0,"Agriculture, forestry, fishing and hunting [11]"
"210","2020","Nunavut",0,"Mining, quarrying, and oil and gas extraction [21]"
"211","2020","Nunavut",34.8,"Construction [23]"
"212","2020","Nunavut",0,"Manufacturing [31-33]"
"213","2020","Nunavut",19,"Wholesale trade [41]"
"214","2020","Nunavut",30.7,"Retail trade [44-45]"
"215","2020","Nunavut",0,"Transportation and warehousing [48-49]"
"216","2020","Nunavut",20,"Information and cultural industries [51]"
"217","2020","Nunavut",0,"Finance and insurance [52]"
"218","2020","Nunavut",8.1,"Real estate and rental and leasing [53]"
"219","2020","Nunavut",0,"Professional, scientific and technical services [54]"
"220","2020","Nunavut",0,"Administrative and support, waste management and remediation services [56]"
"221","2020","Nunavut",34.2,"Health care and social assistance [62]"
"222","2020","Nunavut",0,"Arts, entertainment and recreation [71]"
"223","2020","Nunavut",0,"Accommodation and food services [72]"
"224","2020","Nunavut",0,"Other services (except public administration) [81]"
