"","ref_date","financial_market_statistics","value"
"356",2010-06-25,"Target rate",0.5
"357",2010-06-26,"Real return benchmark bond yield, long term",0
"358",2010-06-26,"Target rate",0
"359",2010-06-27,"Real return benchmark bond yield, long term",0
"360",2010-06-27,"Target rate",0
"361",2010-06-28,"Real return benchmark bond yield, long term",1.43
"362",2010-06-28,"Target rate",0.5
"363",2010-06-29,"Real return benchmark bond yield, long term",1.406
"364",2010-06-29,"Target rate",0.5
"365",2010-06-30,"Real return benchmark bond yield, long term",1.423
"366",2010-06-30,"Target rate",0.5
"367",2010-07-01,"Real return benchmark bond yield, long term",NA
"368",2010-07-01,"Target rate",0.5
"369",2010-07-02,"Real return benchmark bond yield, long term",1.448
"370",2010-07-02,"Target rate",0.5
"371",2010-07-03,"Real return benchmark bond yield, long term",0
"372",2010-07-03,"Target rate",0
"373",2010-07-04,"Real return benchmark bond yield, long term",0
"374",2010-07-04,"Target rate",0
"375",2010-07-05,"Real return benchmark bond yield, long term",1.431
"376",2010-07-05,"Target rate",0.5
"377",2010-07-06,"Real return benchmark bond yield, long term",1.451
"378",2010-07-06,"Target rate",0.5
"379",2010-07-07,"Real return benchmark bond yield, long term",1.503
"380",2010-07-07,"Target rate",0.5
"381",2010-07-08,"Real return benchmark bond yield, long term",1.513
"382",2010-07-08,"Target rate",0.5
"383",2010-07-09,"Real return benchmark bond yield, long term",1.506
"384",2010-07-09,"Target rate",0.5
"385",2010-07-10,"Real return benchmark bond yield, long term",0
"386",2010-07-10,"Target rate",0
"387",2010-07-11,"Real return benchmark bond yield, long term",0
"388",2010-07-11,"Target rate",0
"389",2010-07-12,"Real return benchmark bond yield, long term",1.495
"390",2010-07-12,"Target rate",0.5
"391",2010-07-13,"Real return benchmark bond yield, long term",1.514
"392",2010-07-13,"Target rate",0.5
"393",2010-07-14,"Real return benchmark bond yield, long term",1.527
"394",2010-07-14,"Target rate",0.5
"395",2010-07-15,"Real return benchmark bond yield, long term",1.519
"396",2010-07-15,"Target rate",0.5
"397",2010-07-16,"Real return benchmark bond yield, long term",1.5
"398",2010-07-16,"Target rate",0.5
"399",2010-07-17,"Real return benchmark bond yield, long term",0
"400",2010-07-17,"Target rate",0
"401",2010-07-18,"Real return benchmark bond yield, long term",0
"402",2010-07-18,"Target rate",0
"403",2010-07-19,"Real return benchmark bond yield, long term",1.519
"404",2010-07-19,"Target rate",0.5
"405",2010-07-20,"Real return benchmark bond yield, long term",1.549
"406",2010-07-20,"Target rate",0.75
"407",2010-07-21,"Real return benchmark bond yield, long term",1.511
"408",2010-07-21,"Target rate",0.75
"409",2010-07-22,"Real return benchmark bond yield, long term",1.546
"410",2010-07-22,"Target rate",0.75
"411",2010-07-23,"Real return benchmark bond yield, long term",1.563
"412",2010-07-23,"Target rate",0.75
"413",2010-07-24,"Real return benchmark bond yield, long term",0
"414",2010-07-24,"Target rate",0
"415",2010-07-25,"Real return benchmark bond yield, long term",0
"416",2010-07-25,"Target rate",0
"417",2010-07-26,"Real return benchmark bond yield, long term",1.56
"418",2010-07-26,"Target rate",0.75
"419",2010-07-27,"Real return benchmark bond yield, long term",1.567
"420",2010-07-27,"Target rate",0.75
"421",2010-07-28,"Real return benchmark bond yield, long term",1.554
"422",2010-07-28,"Target rate",0.75
"423",2010-07-29,"Real return benchmark bond yield, long term",1.546
"424",2010-07-29,"Target rate",0.75
"425",2010-07-30,"Real return benchmark bond yield, long term",1.506
"426",2010-07-30,"Target rate",0.75
"427",2010-07-31,"Real return benchmark bond yield, long term",0
"428",2010-07-31,"Target rate",0
"429",2010-08-01,"Real return benchmark bond yield, long term",0
"430",2010-08-01,"Target rate",0
"431",2010-08-02,"Real return benchmark bond yield, long term",NA
"432",2010-08-02,"Target rate",0.75
"433",2010-08-03,"Real return benchmark bond yield, long term",1.501
"434",2010-08-03,"Target rate",0.75
"435",2010-08-04,"Real return benchmark bond yield, long term",1.522
"436",2010-08-04,"Target rate",0.75
"437",2010-08-05,"Real return benchmark bond yield, long term",1.466
"438",2010-08-05,"Target rate",0.75
"439",2010-08-06,"Real return benchmark bond yield, long term",1.454
"440",2010-08-06,"Target rate",0.75
"441",2010-08-07,"Real return benchmark bond yield, long term",0
"442",2010-08-07,"Target rate",0
"443",2010-08-08,"Real return benchmark bond yield, long term",0
"444",2010-08-08,"Target rate",0
"445",2010-08-09,"Real return benchmark bond yield, long term",1.456
"446",2010-08-09,"Target rate",0.75
"447",2010-08-10,"Real return benchmark bond yield, long term",1.43
"448",2010-08-10,"Target rate",0.75
"449",2010-08-11,"Real return benchmark bond yield, long term",1.421
"450",2010-08-11,"Target rate",0.75
"451",2010-08-12,"Real return benchmark bond yield, long term",1.442
"452",2010-08-12,"Target rate",0.75
"453",2010-08-13,"Real return benchmark bond yield, long term",1.406
"454",2010-08-13,"Target rate",0.75
"455",2010-08-14,"Real return benchmark bond yield, long term",0
"456",2010-08-14,"Target rate",0
"457",2010-08-15,"Real return benchmark bond yield, long term",0
"458",2010-08-15,"Target rate",0
"459",2010-08-16,"Real return benchmark bond yield, long term",1.365
"460",2010-08-16,"Target rate",0.75
"461",2010-08-17,"Real return benchmark bond yield, long term",1.384
"462",2010-08-17,"Target rate",0.75
"463",2010-08-18,"Real return benchmark bond yield, long term",1.362
"464",2010-08-18,"Target rate",0.75
"465",2010-08-19,"Real return benchmark bond yield, long term",1.343
"466",2010-08-19,"Target rate",0.75
"467",2010-08-20,"Real return benchmark bond yield, long term",1.361
"468",2010-08-20,"Target rate",0.75
"469",2010-08-21,"Real return benchmark bond yield, long term",0
"470",2010-08-21,"Target rate",0
"471",2010-08-22,"Real return benchmark bond yield, long term",0
"472",2010-08-22,"Target rate",0
"473",2010-08-23,"Real return benchmark bond yield, long term",1.38
"474",2010-08-23,"Target rate",0.75
"475",2010-08-24,"Real return benchmark bond yield, long term",1.362
"476",2010-08-24,"Target rate",0.75
"477",2010-08-25,"Real return benchmark bond yield, long term",1.397
"478",2010-08-25,"Target rate",0.75
"479",2010-08-26,"Real return benchmark bond yield, long term",1.33
"480",2010-08-26,"Target rate",0.75
"481",2010-08-27,"Real return benchmark bond yield, long term",1.372
"482",2010-08-27,"Target rate",0.75
"483",2010-08-28,"Real return benchmark bond yield, long term",0
"484",2010-08-28,"Target rate",0
"485",2010-08-29,"Real return benchmark bond yield, long term",0
"486",2010-08-29,"Target rate",0
"487",2010-08-30,"Real return benchmark bond yield, long term",1.307
"488",2010-08-30,"Target rate",0.75
"489",2010-08-31,"Real return benchmark bond yield, long term",1.341
"490",2010-08-31,"Target rate",0.75
"491",2010-09-01,"Real return benchmark bond yield, long term",1.381
"492",2010-09-01,"Target rate",0.75
"493",2010-09-02,"Real return benchmark bond yield, long term",1.384
"494",2010-09-02,"Target rate",0.75
"495",2010-09-03,"Real return benchmark bond yield, long term",1.414
"496",2010-09-03,"Target rate",0.75
"497",2010-09-04,"Real return benchmark bond yield, long term",0
"498",2010-09-04,"Target rate",0
"499",2010-09-05,"Real return benchmark bond yield, long term",0
"500",2010-09-05,"Target rate",0
"501",2010-09-06,"Real return benchmark bond yield, long term",NA
"502",2010-09-06,"Target rate",0.75
"503",2010-09-07,"Real return benchmark bond yield, long term",1.326
"504",2010-09-07,"Target rate",0.75
"505",2010-09-08,"Real return benchmark bond yield, long term",1.38
