"","ref_date","financial_market_statistics","value"
"5688",2017-10-12,"Target rate",1
"5689",2017-10-13,"Real return benchmark bond yield, long term",0.7421
"5690",2017-10-13,"Target rate",1
"5691",2017-10-14,"Real return benchmark bond yield, long term",0
"5692",2017-10-14,"Target rate",0
"5693",2017-10-15,"Real return benchmark bond yield, long term",0
"5694",2017-10-15,"Target rate",0
"5695",2017-10-16,"Real return benchmark bond yield, long term",0.7365
"5696",2017-10-16,"Target rate",1
"5697",2017-10-17,"Real return benchmark bond yield, long term",0.7176
"5698",2017-10-17,"Target rate",1
"5699",2017-10-18,"Real return benchmark bond yield, long term",0.7304
"5700",2017-10-18,"Target rate",1
"5701",2017-10-19,"Real return benchmark bond yield, long term",0.7289
"5702",2017-10-19,"Target rate",1
"5703",2017-10-20,"Real return benchmark bond yield, long term",0.7617
"5704",2017-10-20,"Target rate",1
"5705",2017-10-21,"Real return benchmark bond yield, long term",0
"5706",2017-10-21,"Target rate",0
"5707",2017-10-22,"Real return benchmark bond yield, long term",0
"5708",2017-10-22,"Target rate",0
"5709",2017-10-23,"Real return benchmark bond yield, long term",0.7541
"5710",2017-10-23,"Target rate",1
"5711",2017-10-24,"Real return benchmark bond yield, long term",0.7757
"5712",2017-10-24,"Target rate",1
"5713",2017-10-25,"Real return benchmark bond yield, long term",0.7562
"5714",2017-10-25,"Target rate",1
"5715",2017-10-26,"Real return benchmark bond yield, long term",0.75
"5716",2017-10-26,"Target rate",1
"5717",2017-10-27,"Real return benchmark bond yield, long term",0.7236
"5718",2017-10-27,"Target rate",1
"5719",2017-10-28,"Real return benchmark bond yield, long term",0
"5720",2017-10-28,"Target rate",0
"5721",2017-10-29,"Real return benchmark bond yield, long term",0
"5722",2017-10-29,"Target rate",0
"5723",2017-10-30,"Real return benchmark bond yield, long term",0.7024
"5724",2017-10-30,"Target rate",1
"5725",2017-10-31,"Real return benchmark bond yield, long term",0.671
"5726",2017-10-31,"Target rate",1
"5727",2017-11-01,"Real return benchmark bond yield, long term",0.6537
"5728",2017-11-01,"Target rate",1
"5729",2017-11-02,"Real return benchmark bond yield, long term",0.6434
"5730",2017-11-02,"Target rate",1
"5731",2017-11-03,"Real return benchmark bond yield, long term",0.6381
"5732",2017-11-03,"Target rate",1
"5733",2017-11-04,"Real return benchmark bond yield, long term",0
"5734",2017-11-04,"Target rate",0
"5735",2017-11-05,"Real return benchmark bond yield, long term",0
"5736",2017-11-05,"Target rate",0
"5737",2017-11-06,"Real return benchmark bond yield, long term",0.6139
"5738",2017-11-06,"Target rate",1
"5739",2017-11-07,"Real return benchmark bond yield, long term",0.5908
"5740",2017-11-07,"Target rate",1
"5741",2017-11-08,"Real return benchmark bond yield, long term",0.6099
"5742",2017-11-08,"Target rate",1
"5743",2017-11-09,"Real return benchmark bond yield, long term",0.6349
"5744",2017-11-09,"Target rate",1
"5745",2017-11-10,"Real return benchmark bond yield, long term",0.6683
"5746",2017-11-10,"Target rate",1
"5747",2017-11-11,"Real return benchmark bond yield, long term",0
"5748",2017-11-11,"Target rate",0
"5749",2017-11-12,"Real return benchmark bond yield, long term",0
"5750",2017-11-12,"Target rate",0
"5751",2017-11-13,"Real return benchmark bond yield, long term",NA
"5752",2017-11-13,"Target rate",1
"5753",2017-11-14,"Real return benchmark bond yield, long term",0.644
"5754",2017-11-14,"Target rate",1
"5755",2017-11-15,"Real return benchmark bond yield, long term",0.6138
"5756",2017-11-15,"Target rate",1
"5757",2017-11-16,"Real return benchmark bond yield, long term",0.6567
"5758",2017-11-16,"Target rate",1
"5759",2017-11-17,"Real return benchmark bond yield, long term",0.6436
"5760",2017-11-17,"Target rate",1
"5761",2017-11-18,"Real return benchmark bond yield, long term",0
"5762",2017-11-18,"Target rate",0
"5763",2017-11-19,"Real return benchmark bond yield, long term",0
"5764",2017-11-19,"Target rate",0
"5765",2017-11-20,"Real return benchmark bond yield, long term",0.671
"5766",2017-11-20,"Target rate",1
"5767",2017-11-21,"Real return benchmark bond yield, long term",0.6433
"5768",2017-11-21,"Target rate",1
"5769",2017-11-22,"Real return benchmark bond yield, long term",0.6316
"5770",2017-11-22,"Target rate",1
"5771",2017-11-23,"Real return benchmark bond yield, long term",0.6188
"5772",2017-11-23,"Target rate",1
"5773",2017-11-24,"Real return benchmark bond yield, long term",0.6158
"5774",2017-11-24,"Target rate",1
"5775",2017-11-25,"Real return benchmark bond yield, long term",0
"5776",2017-11-25,"Target rate",0
"5777",2017-11-26,"Real return benchmark bond yield, long term",0
"5778",2017-11-26,"Target rate",0
"5779",2017-11-27,"Real return benchmark bond yield, long term",0.6084
"5780",2017-11-27,"Target rate",1
"5781",2017-11-28,"Real return benchmark bond yield, long term",0.5886
"5782",2017-11-28,"Target rate",1
"5783",2017-11-29,"Real return benchmark bond yield, long term",0.6015
"5784",2017-11-29,"Target rate",1
"5785",2017-11-30,"Real return benchmark bond yield, long term",0.5964
"5786",2017-11-30,"Target rate",1
"5787",2017-12-01,"Real return benchmark bond yield, long term",0.5412
"5788",2017-12-01,"Target rate",1
"5789",2017-12-02,"Real return benchmark bond yield, long term",0
"5790",2017-12-02,"Target rate",0
"5791",2017-12-03,"Real return benchmark bond yield, long term",0
"5792",2017-12-03,"Target rate",0
"5793",2017-12-04,"Real return benchmark bond yield, long term",0.5426
"5794",2017-12-04,"Target rate",1
"5795",2017-12-05,"Real return benchmark bond yield, long term",0.5178
"5796",2017-12-05,"Target rate",1
"5797",2017-12-06,"Real return benchmark bond yield, long term",0.5103
"5798",2017-12-06,"Target rate",1
"5799",2017-12-07,"Real return benchmark bond yield, long term",0.517
"5800",2017-12-07,"Target rate",1
"5801",2017-12-08,"Real return benchmark bond yield, long term",0.5166
"5802",2017-12-08,"Target rate",1
"5803",2017-12-09,"Real return benchmark bond yield, long term",0
"5804",2017-12-09,"Target rate",0
"5805",2017-12-10,"Real return benchmark bond yield, long term",0
"5806",2017-12-10,"Target rate",0
"5807",2017-12-11,"Real return benchmark bond yield, long term",0.5117
"5808",2017-12-11,"Target rate",1
"5809",2017-12-12,"Real return benchmark bond yield, long term",0.5029
"5810",2017-12-12,"Target rate",1
"5811",2017-12-13,"Real return benchmark bond yield, long term",0.497
"5812",2017-12-13,"Target rate",1
"5813",2017-12-14,"Real return benchmark bond yield, long term",0.4975
"5814",2017-12-14,"Target rate",1
"5815",2017-12-15,"Real return benchmark bond yield, long term",0.4471
"5816",2017-12-15,"Target rate",1
"5817",2017-12-16,"Real return benchmark bond yield, long term",0
"5818",2017-12-16,"Target rate",0
"5819",2017-12-17,"Real return benchmark bond yield, long term",0
"5820",2017-12-17,"Target rate",0
"5821",2017-12-18,"Real return benchmark bond yield, long term",0.4835
"5822",2017-12-18,"Target rate",1
"5823",2017-12-19,"Real return benchmark bond yield, long term",0.5298
"5824",2017-12-19,"Target rate",1
"5825",2017-12-20,"Real return benchmark bond yield, long term",0.5653
"5826",2017-12-20,"Target rate",1
"5827",2017-12-21,"Real return benchmark bond yield, long term",0.5574
"5828",2017-12-21,"Target rate",1
"5829",2017-12-22,"Real return benchmark bond yield, long term",0.5607
"5830",2017-12-22,"Target rate",1
"5831",2017-12-23,"Real return benchmark bond yield, long term",0
"5832",2017-12-23,"Target rate",0
"5833",2017-12-24,"Real return benchmark bond yield, long term",0
"5834",2017-12-24,"Target rate",0
"5835",2017-12-25,"Real return benchmark bond yield, long term",NA
"5836",2017-12-25,"Target rate",1
"5837",2017-12-26,"Real return benchmark bond yield, long term",NA
"5838",2017-12-26,"Target rate",1
"5839",2017-12-27,"Real return benchmark bond yield, long term",0.5166
"5840",2017-12-27,"Target rate",1
"5841",2017-12-28,"Real return benchmark bond yield, long term",0.5478
"5842",2017-12-28,"Target rate",1
"5843",2017-12-29,"Real return benchmark bond yield, long term",0.5744
"5844",2017-12-29,"Target rate",1
"5845",2017-12-30,"Real return benchmark bond yield, long term",0
"5846",2017-12-30,"Target rate",0
"5847",2017-12-31,"Real return benchmark bond yield, long term",0
"5848",2017-12-31,"Target rate",0
"5849",2018-01-01,"Real return benchmark bond yield, long term",NA
"5850",2018-01-01,"Target rate",1
"5851",2018-01-02,"Real return benchmark bond yield, long term",0.6186
"5852",2018-01-02,"Target rate",1
"5853",2018-01-03,"Real return benchmark bond yield, long term",0.577
"5854",2018-01-03,"Target rate",1
"5855",2018-01-04,"Real return benchmark bond yield, long term",0.5799
"5856",2018-01-04,"Target rate",1
"5857",2018-01-05,"Real return benchmark bond yield, long term",0.5926
"5858",2018-01-05,"Target rate",1
"5859",2018-01-06,"Real return benchmark bond yield, long term",0
"5860",2018-01-06,"Target rate",0
"5861",2018-01-07,"Real return benchmark bond yield, long term",0
"5862",2018-01-07,"Target rate",0
"5863",2018-01-08,"Real return benchmark bond yield, long term",0.5963
"5864",2018-01-08,"Target rate",1
"5865",2018-01-09,"Real return benchmark bond yield, long term",0.6436
"5866",2018-01-09,"Target rate",1
"5867",2018-01-10,"Real return benchmark bond yield, long term",0.6251
"5868",2018-01-10,"Target rate",1
"5869",2018-01-11,"Real return benchmark bond yield, long term",0.6286
"5870",2018-01-11,"Target rate",1
"5871",2018-01-12,"Real return benchmark bond yield, long term",0.6242
"5872",2018-01-12,"Target rate",1
"5873",2018-01-13,"Real return benchmark bond yield, long term",0
"5874",2018-01-13,"Target rate",0
"5875",2018-01-14,"Real return benchmark bond yield, long term",0
"5876",2018-01-14,"Target rate",0
"5877",2018-01-15,"Real return benchmark bond yield, long term",0.6242
"5878",2018-01-15,"Target rate",1
"5879",2018-01-16,"Real return benchmark bond yield, long term",0.5999
"5880",2018-01-16,"Target rate",1
"5881",2018-01-17,"Real return benchmark bond yield, long term",0.59
"5882",2018-01-17,"Target rate",1.25
"5883",2018-01-18,"Real return benchmark bond yield, long term",0.5875
"5884",2018-01-18,"Target rate",1.25
"5885",2018-01-19,"Real return benchmark bond yield, long term",0.6027
"5886",2018-01-19,"Target rate",1.25
"5887",2018-01-20,"Real return benchmark bond yield, long term",0
"5888",2018-01-20,"Target rate",0
"5889",2018-01-21,"Real return benchmark bond yield, long term",0
"5890",2018-01-21,"Target rate",0
"5891",2018-01-22,"Real return benchmark bond yield, long term",0.6003
"5892",2018-01-22,"Target rate",1.25
"5893",2018-01-23,"Real return benchmark bond yield, long term",0.5869
"5894",2018-01-23,"Target rate",1.25
"5895",2018-01-24,"Real return benchmark bond yield, long term",0.6016
"5896",2018-01-24,"Target rate",1.25
"5897",2018-01-25,"Real return benchmark bond yield, long term",0.5794
"5898",2018-01-25,"Target rate",1.25
"5899",2018-01-26,"Real return benchmark bond yield, long term",0.5654
"5900",2018-01-26,"Target rate",1.25
"5901",2018-01-27,"Real return benchmark bond yield, long term",0
"5902",2018-01-27,"Target rate",0
"5903",2018-01-28,"Real return benchmark bond yield, long term",0
"5904",2018-01-28,"Target rate",0
"5905",2018-01-29,"Real return benchmark bond yield, long term",0.5696
"5906",2018-01-29,"Target rate",1.25
"5907",2018-01-30,"Real return benchmark bond yield, long term",0.6042
"5908",2018-01-30,"Target rate",1.25
"5909",2018-01-31,"Real return benchmark bond yield, long term",0.6031
"5910",2018-01-31,"Target rate",1.25
"5911",2018-02-01,"Real return benchmark bond yield, long term",0.6444
"5912",2018-02-01,"Target rate",1.25
"5913",2018-02-02,"Real return benchmark bond yield, long term",0.6622
"5914",2018-02-02,"Target rate",1.25
"5915",2018-02-03,"Real return benchmark bond yield, long term",0
"5916",2018-02-03,"Target rate",0
"5917",2018-02-04,"Real return benchmark bond yield, long term",0
"5918",2018-02-04,"Target rate",0
"5919",2018-02-05,"Real return benchmark bond yield, long term",0.6711
"5920",2018-02-05,"Target rate",1.25
"5921",2018-02-06,"Real return benchmark bond yield, long term",0.7032
"5922",2018-02-06,"Target rate",1.25
"5923",2018-02-07,"Real return benchmark bond yield, long term",0.7158
"5924",2018-02-07,"Target rate",1.25
"5925",2018-02-08,"Real return benchmark bond yield, long term",0.7368
"5926",2018-02-08,"Target rate",1.25
"5927",2018-02-09,"Real return benchmark bond yield, long term",0.7521
"5928",2018-02-09,"Target rate",1.25
"5929",2018-02-10,"Real return benchmark bond yield, long term",0
"5930",2018-02-10,"Target rate",0
"5931",2018-02-11,"Real return benchmark bond yield, long term",0
"5932",2018-02-11,"Target rate",0
"5933",2018-02-12,"Real return benchmark bond yield, long term",0.7342
"5934",2018-02-12,"Target rate",1.25
"5935",2018-02-13,"Real return benchmark bond yield, long term",0.7318
"5936",2018-02-13,"Target rate",1.25
"5937",2018-02-14,"Real return benchmark bond yield, long term",0.7441
"5938",2018-02-14,"Target rate",1.25
"5939",2018-02-15,"Real return benchmark bond yield, long term",0.7269
"5940",2018-02-15,"Target rate",1.25
"5941",2018-02-16,"Real return benchmark bond yield, long term",0.692
"5942",2018-02-16,"Target rate",1.25
"5943",2018-02-17,"Real return benchmark bond yield, long term",0
"5944",2018-02-17,"Target rate",0
"5945",2018-02-18,"Real return benchmark bond yield, long term",0
"5946",2018-02-18,"Target rate",0
"5947",2018-02-19,"Real return benchmark bond yield, long term",NA
"5948",2018-02-19,"Target rate",1.25
"5949",2018-02-20,"Real return benchmark bond yield, long term",0.697
"5950",2018-02-20,"Target rate",1.25
"5951",2018-02-21,"Real return benchmark bond yield, long term",0.7101
"5952",2018-02-21,"Target rate",1.25
"5953",2018-02-22,"Real return benchmark bond yield, long term",0.6868
"5954",2018-02-22,"Target rate",1.25
"5955",2018-02-23,"Real return benchmark bond yield, long term",0.6134
"5956",2018-02-23,"Target rate",1.25
"5957",2018-02-24,"Real return benchmark bond yield, long term",0
"5958",2018-02-24,"Target rate",0
"5959",2018-02-25,"Real return benchmark bond yield, long term",0
"5960",2018-02-25,"Target rate",0
"5961",2018-02-26,"Real return benchmark bond yield, long term",0.6184
"5962",2018-02-26,"Target rate",1.25
"5963",2018-02-27,"Real return benchmark bond yield, long term",0.6467
"5964",2018-02-27,"Target rate",1.25
"5965",2018-02-28,"Real return benchmark bond yield, long term",0.5898
"5966",2018-02-28,"Target rate",1.25
"5967",2018-03-01,"Real return benchmark bond yield, long term",0.5758
"5968",2018-03-01,"Target rate",1.25
"5969",2018-03-02,"Real return benchmark bond yield, long term",0.6028
"5970",2018-03-02,"Target rate",1.25
"5971",2018-03-03,"Real return benchmark bond yield, long term",0
"5972",2018-03-03,"Target rate",0
"5973",2018-03-04,"Real return benchmark bond yield, long term",0
"5974",2018-03-04,"Target rate",0
"5975",2018-03-05,"Real return benchmark bond yield, long term",0.6107
"5976",2018-03-05,"Target rate",1.25
"5977",2018-03-06,"Real return benchmark bond yield, long term",0.6323
"5978",2018-03-06,"Target rate",1.25
"5979",2018-03-07,"Real return benchmark bond yield, long term",0.6599
"5980",2018-03-07,"Target rate",1.25
"5981",2018-03-08,"Real return benchmark bond yield, long term",0.6566
"5982",2018-03-08,"Target rate",1.25
"5983",2018-03-09,"Real return benchmark bond yield, long term",0.6941
"5984",2018-03-09,"Target rate",1.25
"5985",2018-03-10,"Real return benchmark bond yield, long term",0
"5986",2018-03-10,"Target rate",0
"5987",2018-03-11,"Real return benchmark bond yield, long term",0
"5988",2018-03-11,"Target rate",0
"5989",2018-03-12,"Real return benchmark bond yield, long term",0.6768
"5990",2018-03-12,"Target rate",1.25
"5991",2018-03-13,"Real return benchmark bond yield, long term",0.6448
"5992",2018-03-13,"Target rate",1.25
"5993",2018-03-14,"Real return benchmark bond yield, long term",0.5942
"5994",2018-03-14,"Target rate",1.25
"5995",2018-03-15,"Real return benchmark bond yield, long term",0.5688
"5996",2018-03-15,"Target rate",1.25
"5997",2018-03-16,"Real return benchmark bond yield, long term",0.5728
"5998",2018-03-16,"Target rate",1.25
"5999",2018-03-17,"Real return benchmark bond yield, long term",0
"6000",2018-03-17,"Target rate",0
"6001",2018-03-18,"Real return benchmark bond yield, long term",0
"6002",2018-03-18,"Target rate",0
"6003",2018-03-19,"Real return benchmark bond yield, long term",0.5836
"6004",2018-03-19,"Target rate",1.25
"6005",2018-03-20,"Real return benchmark bond yield, long term",0.6054
"6006",2018-03-20,"Target rate",1.25
"6007",2018-03-21,"Real return benchmark bond yield, long term",0.6405
"6008",2018-03-21,"Target rate",1.25
"6009",2018-03-22,"Real return benchmark bond yield, long term",0.5741
"6010",2018-03-22,"Target rate",1.25
"6011",2018-03-23,"Real return benchmark bond yield, long term",0.584
"6012",2018-03-23,"Target rate",1.25
"6013",2018-03-24,"Real return benchmark bond yield, long term",0
"6014",2018-03-24,"Target rate",0
"6015",2018-03-25,"Real return benchmark bond yield, long term",0
"6016",2018-03-25,"Target rate",0
"6017",2018-03-26,"Real return benchmark bond yield, long term",0.6192
"6018",2018-03-26,"Target rate",1.25
"6019",2018-03-27,"Real return benchmark bond yield, long term",0.5682
"6020",2018-03-27,"Target rate",1.25
"6021",2018-03-28,"Real return benchmark bond yield, long term",0.5507
"6022",2018-03-28,"Target rate",1.25
"6023",2018-03-29,"Real return benchmark bond yield, long term",0.5305
"6024",2018-03-29,"Target rate",1.25
"6025",2018-03-30,"Real return benchmark bond yield, long term",NA
"6026",2018-03-30,"Target rate",1.25
"6027",2018-03-31,"Real return benchmark bond yield, long term",0
"6028",2018-03-31,"Target rate",0
"6029",2018-04-01,"Real return benchmark bond yield, long term",0
"6030",2018-04-01,"Target rate",0
"6031",2018-04-02,"Real return benchmark bond yield, long term",0.5573
"6032",2018-04-02,"Target rate",1.25
"6033",2018-04-03,"Real return benchmark bond yield, long term",0.6013
"6034",2018-04-03,"Target rate",1.25
"6035",2018-04-04,"Real return benchmark bond yield, long term",0.6373
"6036",2018-04-04,"Target rate",1.25
"6037",2018-04-05,"Real return benchmark bond yield, long term",0.6495
"6038",2018-04-05,"Target rate",1.25
"6039",2018-04-06,"Real return benchmark bond yield, long term",0.6157
"6040",2018-04-06,"Target rate",1.25
"6041",2018-04-07,"Real return benchmark bond yield, long term",0
"6042",2018-04-07,"Target rate",0
"6043",2018-04-08,"Real return benchmark bond yield, long term",0
"6044",2018-04-08,"Target rate",0
"6045",2018-04-09,"Real return benchmark bond yield, long term",0.5995
"6046",2018-04-09,"Target rate",1.25
"6047",2018-04-10,"Real return benchmark bond yield, long term",0.6106
"6048",2018-04-10,"Target rate",1.25
"6049",2018-04-11,"Real return benchmark bond yield, long term",0.6062
"6050",2018-04-11,"Target rate",1.25
"6051",2018-04-12,"Real return benchmark bond yield, long term",0.65
"6052",2018-04-12,"Target rate",1.25
"6053",2018-04-13,"Real return benchmark bond yield, long term",0.609
"6054",2018-04-13,"Target rate",1.25
"6055",2018-04-14,"Real return benchmark bond yield, long term",0
"6056",2018-04-14,"Target rate",0
"6057",2018-04-15,"Real return benchmark bond yield, long term",0
"6058",2018-04-15,"Target rate",0
"6059",2018-04-16,"Real return benchmark bond yield, long term",0.6425
"6060",2018-04-16,"Target rate",1.25
"6061",2018-04-17,"Real return benchmark bond yield, long term",0.6031
"6062",2018-04-17,"Target rate",1.25
"6063",2018-04-18,"Real return benchmark bond yield, long term",0.6431
"6064",2018-04-18,"Target rate",1.25
"6065",2018-04-19,"Real return benchmark bond yield, long term",0.6672
"6066",2018-04-19,"Target rate",1.25
"6067",2018-04-20,"Real return benchmark bond yield, long term",0.6916
"6068",2018-04-20,"Target rate",1.25
"6069",2018-04-21,"Real return benchmark bond yield, long term",0
"6070",2018-04-21,"Target rate",0
"6071",2018-04-22,"Real return benchmark bond yield, long term",0
"6072",2018-04-22,"Target rate",0
"6073",2018-04-23,"Real return benchmark bond yield, long term",0.6883
"6074",2018-04-23,"Target rate",1.25
"6075",2018-04-24,"Real return benchmark bond yield, long term",0.6918
"6076",2018-04-24,"Target rate",1.25
"6077",2018-04-25,"Real return benchmark bond yield, long term",0.7241
"6078",2018-04-25,"Target rate",1.25
"6079",2018-04-26,"Real return benchmark bond yield, long term",0.6859
"6080",2018-04-26,"Target rate",1.25
"6081",2018-04-27,"Real return benchmark bond yield, long term",0.6452
"6082",2018-04-27,"Target rate",1.25
"6083",2018-04-28,"Real return benchmark bond yield, long term",0
"6084",2018-04-28,"Target rate",0
"6085",2018-04-29,"Real return benchmark bond yield, long term",0
"6086",2018-04-29,"Target rate",0
"6087",2018-04-30,"Real return benchmark bond yield, long term",0.6235
"6088",2018-04-30,"Target rate",1.25
"6089",2018-05-01,"Real return benchmark bond yield, long term",0.641
"6090",2018-05-01,"Target rate",1.25
"6091",2018-05-02,"Real return benchmark bond yield, long term",0.6425
"6092",2018-05-02,"Target rate",1.25
"6093",2018-05-03,"Real return benchmark bond yield, long term",0.6081
"6094",2018-05-03,"Target rate",1.25
"6095",2018-05-04,"Real return benchmark bond yield, long term",0.6015
"6096",2018-05-04,"Target rate",1.25
"6097",2018-05-05,"Real return benchmark bond yield, long term",0
"6098",2018-05-05,"Target rate",0
"6099",2018-05-06,"Real return benchmark bond yield, long term",0
"6100",2018-05-06,"Target rate",0
"6101",2018-05-07,"Real return benchmark bond yield, long term",0.5972
"6102",2018-05-07,"Target rate",1.25
"6103",2018-05-08,"Real return benchmark bond yield, long term",0.609
"6104",2018-05-08,"Target rate",1.25
"6105",2018-05-09,"Real return benchmark bond yield, long term",0.6216
"6106",2018-05-09,"Target rate",1.25
"6107",2018-05-10,"Real return benchmark bond yield, long term",0.6209
"6108",2018-05-10,"Target rate",1.25
"6109",2018-05-11,"Real return benchmark bond yield, long term",0.6139
"6110",2018-05-11,"Target rate",1.25
"6111",2018-05-12,"Real return benchmark bond yield, long term",0
"6112",2018-05-12,"Target rate",0
"6113",2018-05-13,"Real return benchmark bond yield, long term",0
"6114",2018-05-13,"Target rate",0
"6115",2018-05-14,"Real return benchmark bond yield, long term",0.65
"6116",2018-05-14,"Target rate",1.25
"6117",2018-05-15,"Real return benchmark bond yield, long term",0.6976
"6118",2018-05-15,"Target rate",1.25
"6119",2018-05-16,"Real return benchmark bond yield, long term",0.6948
"6120",2018-05-16,"Target rate",1.25
"6121",2018-05-17,"Real return benchmark bond yield, long term",0.7075
"6122",2018-05-17,"Target rate",1.25
"6123",2018-05-18,"Real return benchmark bond yield, long term",0.6779
"6124",2018-05-18,"Target rate",1.25
"6125",2018-05-19,"Real return benchmark bond yield, long term",0
"6126",2018-05-19,"Target rate",0
"6127",2018-05-20,"Real return benchmark bond yield, long term",0
"6128",2018-05-20,"Target rate",0
"6129",2018-05-21,"Real return benchmark bond yield, long term",NA
"6130",2018-05-21,"Target rate",1.25
"6131",2018-05-22,"Real return benchmark bond yield, long term",0.6848
"6132",2018-05-22,"Target rate",1.25
"6133",2018-05-23,"Real return benchmark bond yield, long term",0.6518
"6134",2018-05-23,"Target rate",1.25
"6135",2018-05-24,"Real return benchmark bond yield, long term",0.6292
"6136",2018-05-24,"Target rate",1.25
"6137",2018-05-25,"Real return benchmark bond yield, long term",0.6019
"6138",2018-05-25,"Target rate",1.25
"6139",2018-05-26,"Real return benchmark bond yield, long term",0
"6140",2018-05-26,"Target rate",0
"6141",2018-05-27,"Real return benchmark bond yield, long term",0
"6142",2018-05-27,"Target rate",0
"6143",2018-05-28,"Real return benchmark bond yield, long term",0.5666
"6144",2018-05-28,"Target rate",1.25
"6145",2018-05-29,"Real return benchmark bond yield, long term",0.5109
"6146",2018-05-29,"Target rate",1.25
"6147",2018-05-30,"Real return benchmark bond yield, long term",0.5358
"6148",2018-05-30,"Target rate",1.25
"6149",2018-05-31,"Real return benchmark bond yield, long term",0.5192
"6150",2018-05-31,"Target rate",1.25
"6151",2018-06-01,"Real return benchmark bond yield, long term",0.529
"6152",2018-06-01,"Target rate",1.25
"6153",2018-06-02,"Real return benchmark bond yield, long term",0
"6154",2018-06-02,"Target rate",0
"6155",2018-06-03,"Real return benchmark bond yield, long term",0
"6156",2018-06-03,"Target rate",0
"6157",2018-06-04,"Real return benchmark bond yield, long term",0.5768
"6158",2018-06-04,"Target rate",1.25
"6159",2018-06-05,"Real return benchmark bond yield, long term",0.5606
"6160",2018-06-05,"Target rate",1.25
"6161",2018-06-06,"Real return benchmark bond yield, long term",0.6089
"6162",2018-06-06,"Target rate",1.25
"6163",2018-06-07,"Real return benchmark bond yield, long term",0.5848
"6164",2018-06-07,"Target rate",1.25
"6165",2018-06-08,"Real return benchmark bond yield, long term",0.6101
"6166",2018-06-08,"Target rate",1.25
"6167",2018-06-09,"Real return benchmark bond yield, long term",0
"6168",2018-06-09,"Target rate",0
"6169",2018-06-10,"Real return benchmark bond yield, long term",0
"6170",2018-06-10,"Target rate",0
"6171",2018-06-11,"Real return benchmark bond yield, long term",0.6077
"6172",2018-06-11,"Target rate",1.25
"6173",2018-06-12,"Real return benchmark bond yield, long term",0.5647
"6174",2018-06-12,"Target rate",1.25
"6175",2018-06-13,"Real return benchmark bond yield, long term",0.5679
"6176",2018-06-13,"Target rate",1.25
"6177",2018-06-14,"Real return benchmark bond yield, long term",0.5241
"6178",2018-06-14,"Target rate",1.25
"6179",2018-06-15,"Real return benchmark bond yield, long term",0.4801
"6180",2018-06-15,"Target rate",1.25
"6181",2018-06-16,"Real return benchmark bond yield, long term",0
"6182",2018-06-16,"Target rate",0
"6183",2018-06-17,"Real return benchmark bond yield, long term",0
"6184",2018-06-17,"Target rate",0
"6185",2018-06-18,"Real return benchmark bond yield, long term",0.482
"6186",2018-06-18,"Target rate",1.25
"6187",2018-06-19,"Real return benchmark bond yield, long term",0.4525
"6188",2018-06-19,"Target rate",1.25
"6189",2018-06-20,"Real return benchmark bond yield, long term",0.4772
"6190",2018-06-20,"Target rate",1.25
"6191",2018-06-21,"Real return benchmark bond yield, long term",0.4517
"6192",2018-06-21,"Target rate",1.25
"6193",2018-06-22,"Real return benchmark bond yield, long term",0.4646
"6194",2018-06-22,"Target rate",1.25
"6195",2018-06-23,"Real return benchmark bond yield, long term",0
"6196",2018-06-23,"Target rate",0
"6197",2018-06-24,"Real return benchmark bond yield, long term",0
"6198",2018-06-24,"Target rate",0
"6199",2018-06-25,"Real return benchmark bond yield, long term",0.448
"6200",2018-06-25,"Target rate",1.25
"6201",2018-06-26,"Real return benchmark bond yield, long term",0.4471
"6202",2018-06-26,"Target rate",1.25
"6203",2018-06-27,"Real return benchmark bond yield, long term",0.4312
"6204",2018-06-27,"Target rate",1.25
"6205",2018-06-28,"Real return benchmark bond yield, long term",0.4727
"6206",2018-06-28,"Target rate",1.25
"6207",2018-06-29,"Real return benchmark bond yield, long term",0.4746
"6208",2018-06-29,"Target rate",1.25
"6209",2018-06-30,"Real return benchmark bond yield, long term",0
"6210",2018-06-30,"Target rate",0
"6211",2018-07-01,"Real return benchmark bond yield, long term",0
"6212",2018-07-01,"Target rate",0
"6213",2018-07-02,"Real return benchmark bond yield, long term",NA
"6214",2018-07-02,"Target rate",1.25
"6215",2018-07-03,"Real return benchmark bond yield, long term",0.4614
"6216",2018-07-03,"Target rate",1.25
"6217",2018-07-04,"Real return benchmark bond yield, long term",0.4739
"6218",2018-07-04,"Target rate",1.25
"6219",2018-07-05,"Real return benchmark bond yield, long term",0.4599
"6220",2018-07-05,"Target rate",1.25
"6221",2018-07-06,"Real return benchmark bond yield, long term",0.4423
"6222",2018-07-06,"Target rate",1.25
"6223",2018-07-07,"Real return benchmark bond yield, long term",0
"6224",2018-07-07,"Target rate",0
"6225",2018-07-08,"Real return benchmark bond yield, long term",0
"6226",2018-07-08,"Target rate",0
"6227",2018-07-09,"Real return benchmark bond yield, long term",0.4841
"6228",2018-07-09,"Target rate",1.25
"6229",2018-07-10,"Real return benchmark bond yield, long term",0.4841
"6230",2018-07-10,"Target rate",1.25
"6231",2018-07-11,"Real return benchmark bond yield, long term",0.4688
"6232",2018-07-11,"Target rate",1.5
"6233",2018-07-12,"Real return benchmark bond yield, long term",0.4868
"6234",2018-07-12,"Target rate",1.5
"6235",2018-07-13,"Real return benchmark bond yield, long term",0.4778
"6236",2018-07-13,"Target rate",1.5
